year,week,team,motion_snaps,play_action_pct,,,,,
2018,8,tb,35,0.179,,,,,
2018,8,wsh,34,0.25,,,,,
2018,9,atl,49,0.425,,,,,
2018,9,bal,33,0.15,,,,,
2018,9,buf,28,0.189,,,,,
2018,9,car,44,0.481,,,,,
2018,9,chi,19,0.286,,,,,
2018,9,clv,21,0.267,,,,,
2018,9,dal,23,0.27,,,,,
2018,9,den,26,0.295,,,,,
2018,9,det,37,0.196,,,,,
2018,9,gb,26,0.205,,,,,
2018,9,ten,44,0.394,,,,,
2018,9,hou,30,0.214,,,,,
2018,9,kc,36,0.382,,,,,
2018,9,lar,30,0.325,,,,,
2018,9,lv,18,0.25,,,,,
2018,9,mia,34,0.143,,,,,
2018,9,min,27,0.217,,,,,
2018,9,ne,35,0.237,,,,,
2018,9,no,31,0.25,,,,,
2018,9,nyj,24,0.163,,,,,
2018,9,pit,39,0.143,,,,,
2018,9,lac,40,0.25,,,,,
2018,9,sf,36,0.455,,,,,
2018,9,sea,33,0.256,,,,,
2018,9,tb,31,0.227,,,,,
2018,9,wsh,32,0.082,,,,,
2018,10,atl,35,0.241,,,,,
2018,10,buf,30,0.333,,,,,
2018,10,car,26,0.147,,,,,
2018,10,chi,29,0.194,,,,,
2018,10,cin,13,0.259,,,,,
2018,10,clv,21,0.429,,,,,
2018,10,dal,34,0.375,,,,,
2018,10,det,26,0.146,,,,,
2018,10,gb,21,0.333,,,,,
2018,10,ten,33,0.259,,,,,
2018,10,ind,21,0.276,,,,,
2018,10,jax,28,0.282,,,,,
2018,10,kc,30,0.364,,,,,
2018,10,lar,31,0.439,,,,,
2018,10,lv,28,0.195,,,,,
2018,10,mia,25,0.116,,,,,
2018,10,ne,23,0.37,,,,,
2018,10,no,28,0.222,,,,,
2018,10,nyg,19,0.281,,,,,
2018,10,nyj,20,0.243,,,,,
2018,10,phi,26,0.304,,,,,
2018,10,ari,19,0.25,,,,,
2018,10,pit,31,0.143,,,,,
2018,10,lac,34,0.481,,,,,
2018,10,sf,51,0.256,,,,,
2018,10,sea,32,0.333,,,,,
2018,10,tb,35,0.186,,,,,
2018,10,wsh,29,0.233,,,,,
2018,11,atl,30,0.297,,,,,
2018,11,bal,38,0.364,,,,,
2018,11,car,34,0.244,,,,,
2018,11,chi,39,0.219,,,,,
2018,11,cin,30,0.237,,,,,
2018,11,dal,32,0.265,,,,,
2018,11,den,27,0.152,,,,,
2018,11,det,25,0.263,,,,,
2018,11,gb,17,0.257,,,,,
2018,11,ten,28,0.147,,,,,
2018,11,hou,25,0.37,,,,,
2018,11,ind,20,0.438,,,,,
2018,11,jax,25,0.042,,,,,
2018,11,kc,36,0.306,,,,,
2018,11,lar,35,0.352,,,,,
2018,11,lv,24,0.171,,,,,
2018,11,min,27,0.104,,,,,
2018,11,no,32,0.188,,,,,
2018,11,nyg,25,0.591,,,,,
2018,11,phi,14,0.222,,,,,
2018,11,ari,28,0.381,,,,,
2018,11,pit,15,0.041,,,,,
2018,11,lac,42,0.217,,,,,
2018,11,sea,29,0.294,,,,,
2018,11,tb,26,0.237,,,,,
2018,11,wsh,24,0.182,,,,,
2018,12,atl,39,0.226,,,,,
2018,12,bal,37,0.346,,,,,
2018,12,buf,20,0.421,,,,,
2018,12,car,45,0.533,,,,,
2018,12,chi,25,0.262,,,,,
2018,12,cin,27,0.064,,,,,
2018,12,clv,18,0.346,,,,,
2018,12,dal,39,0.257,,,,,
2018,12,den,20,0.233,,,,,
2018,12,det,27,0.175,,,,,
2018,12,gb,19,0.188,,,,,
2018,12,ten,29,0.172,,,,,
2018,12,hou,23,0.25,,,,,
2018,12,ind,26,0.256,,,,,
2018,12,jax,26,0.346,,,,,
2018,12,lv,23,0.243,,,,,
2018,12,mia,18,0.385,,,,,
2018,12,min,36,0.225,,,,,
2018,12,ne,42,0.355,,,,,
2018,12,no,35,0.292,,,,,
2018,12,nyg,12,0.231,,,,,
2018,12,nyj,28,0.234,,,,,
2018,12,phi,32,0.387,,,,,
2018,12,ari,28,0.476,,,,,
2018,12,pit,25,0.133,,,,,
2018,12,lac,43,0.278,,,,,
2018,12,sf,37,0.306,,,,,
2018,12,sea,26,0.455,,,,,
2018,12,tb,32,0.179,,,,,
2018,12,wsh,22,0.146,,,,,
2018,13,atl,27,0.267,,,,,
2018,13,bal,43,0.321,,,,,
2018,13,buf,17,0.286,,,,,
2018,13,car,30,0.261,,,,,
2018,13,chi,39,0.111,,,,,
2018,13,cin,33,0.22,,,,,
